,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
3.0,-8.0,12.0,-13.0,9.0,-4.0,22.0,-6.0,31.0,-27.0,-21.77508544921875,14.542327880859375,-4.8388824462890625,14.171722412109375
1.0,-19.0,4.0,-29.0,-4.0,-18.0,11.0,-27.0,11.0,-14.0,-18.620040893554688,12.413360595703125,-4.137786865234375,32.221466064453125
-2.0,-8.0,9.0,-22.0,6.0,-10.0,13.0,-19.0,-24.0,8.0,-5.6702728271484375,3.8014984130859375,-1.334014892578125,13.575912475585938
2.0,55.0,2.0,40.0,-10.0,116.0,16.0,28.0,-18.0,100.0,23.407501220703125,-10.662460327148438,-15.774429321289062,-0.922332763671875
2.0,42.0,-3.0,47.0,-6.0,57.0,-7.0,44.0,-21.0,50.0,30.239212036132812,-17.994918823242188,-18.06977081298828,-1.9130096435546875
-5.0,33.0,-16.0,57.0,-12.0,41.0,-29.0,59.0,-23.0,15.0,22.104598999023438,-26.907257080078125,-2.0646209716796875,-3.87066650390625
-5.0,-2.0,-16.0,7.0,-7.0,-36.0,-27.0,8.0,4.0,-23.0,10.256607055664062,-23.1461181640625,31.13640594482422,-5.423980712890625
-3.0,-16.0,-9.0,-8.0,10.0,-42.0,-16.0,-10.0,27.0,-19.0,3.903045654296875,-11.226409912109375,24.746658325195312,-7.4400177001953125
0.0,-2.0,2.0,-1.0,1.0,11.0,-4.0,-12.0,6.0,5.0,-5.4362335205078125,10.055191040039062,-1.1281280517578125,-11.974456787109375
1.0,-6.0,2.0,-8.0,1.0,-2.0,1.0,-11.0,5.0,-8.0,-18.228195190429688,28.143997192382812,-4.0507049560546875,-19.8271484375
-1,-13,0,-12,10,-26,,,18,-31,-24.173995971679688,23.668304443359375,-5.3719940185546875,-8.31427001953125
-1,-3,-1,-4,-9,20,,,-24,23,-24.116668701171875,16.077774047851562,-5.3592681884765625,22.99542236328125
0,-7,10,-17,9,12,,,-8,-1,-15.099365234375,10.06622314453125,-3.355438232421875,29.471908569335938
-1,-7,11,-35,-18,-19,,,-5,-5,-0.7638702392578125,1.06732177734375,-2.1707916259765625,7.152313232421875
-4.0,-2.0,4.0,-39.0,-5.0,-1.0,29.0,-27.0,13.0,-9.0,22.884841918945312,-10.598114013671875,-15.327239990234375,-0.9314422607421875
1.0,6.0,2.0,8.0,0.0,5.0,19.0,-21.0,-18.0,7.0,33.1505126953125,-20.688079833984375,-19.283912658691406,-2.26141357421875
5.0,6.0,3.0,31.0,11.0,11.0,2.0,24.0,1.0,2.0,17.821762084960938,-23.808914184570312,0.452392578125,-3.515594482421875
6.0,12.0,0.0,28.0,6.0,7.0,-14.0,38.0,1.0,2.0,9.686386108398438,-21.786468505859375,29.01685333251953,-5.037506103515625
2.0,1.0,-4.0,14.0,3.0,2.0,-11.0,19.0,1.0,-1.0,3.9502105712890625,-11.149917602539062,23.914154052734375,-5.6847991943359375
1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,-3.29888916015625,5.7623443603515625,1.9387664794921875,-11.173004150390625
1.0,2.0,1.0,1.0,1.0,3.0,-1.0,0.0,-1.0,1.0,-14.449234008789062,23.597320556640625,-3.2109222412109375,-17.9111328125
-1,-4,,,3,-8,15,-10,10,-3,-23.102615356445312,26.74114990234375,-5.1339111328125,-13.107154846191406
-2,1,,,-2,-14,11,-21,23,2,-22.246505737304688,15.108291625976562,-4.9436798095703125,11.197669982910156
-2.0,-3.0,-4.0,-14.0,-1.0,5.0,1.0,-17.0,-23.0,11.0,-17.646575927734375,11.764404296875,-3.9214630126953125,28.253021240234375
0.0,-1.0,-7.0,-1.0,-4.0,7.0,-8.0,-3.0,-5.0,-2.0,-8.808517456054688,5.8723297119140625,-1.9574432373046875,19.940780639648438
-2.0,12.0,-7.0,33.0,-7.0,19.0,-16.0,28.0,-8.0,-2.0,24.775039672851562,-11.32672119140625,-16.762237548828125,-0.6927032470703125
0.0,3.0,-2.0,23.0,-2.0,5.0,-10.0,26.0,-6.0,-4.0,39.72581481933594,-26.674270629882812,-22.078956604003906,-3.031768798828125
4,-3,3,4,,,-1,4,7,-17,16.63653564453125,-28.905532836914062,14.794914245605469,-4.9356536865234375
9,-21,12,-10,,,-5,-8,69,-46,7.344573974609375,-18.69683837890625,33.615264892578125,-6.0922088623046875
3,0,4,0,3,10,,,11,1,1.1889495849609375,-3.8957366943359375,10.357894897460938,-6.3378448486328125
-2,0,1,3,16,21,,,7,1,-11.492401123046875,20.22198486328125,-2.5538787841796875,-18.448272705078125
